crop,soil_type,pH,weather,available_N,available_P,available_K,rec_N,rec_P,rec_K,Urea(kg),SSP(kg),MOP(kg),fertilizer_N,fertilizer_P,fertilizer_K,notes,
Red Gram,Clay loam,5.8,Rainy,Medium (227),Medium (22),High (171),21,16,24,46,100,40,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Cotton,Alluvial,7.1,Dry,Low (151),Low (12),High (218),44,20,26,96,0,43,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Sandy loam,6.4,Rainy,High (251),High (27),High (275),29,19,25,63,119,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Groundnut,Red soil,6.7,Normal,Low (197),Medium (17),High (112),22,17,26,48,106,43,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Sugarcane,Sandy loam,6.4,Dry,Medium (214),Medium (19),High (105),83,34,40,180,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Soybean,Sandy loam,7.2,Rainy,Medium (246),High (30),High (259),23,18,15,50,112,25,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Wheat,Alluvial,6.4,Humid,High (290),High (28),High (210),39,15,18,85,94,30,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Potato,Black soil,7.5,Humid,High (270),High (29),High (155),66,30,40,143,0,67,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Paddy,Alluvial,6.7,Humid,High (287),Low (13),High (300),42,15,18,91,94,30,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Sugarcane,Black soil,5.8,Normal,Medium (229),Medium (25),High (137),98,33,39,213,0,65,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Sandy loam,5.6,Humid,High (256),High (27),High (239),48,22,16,104,138,27,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Soybean,Alluvial,6.9,Normal,High (264),High (26),High (193),30,17,21,65,106,35,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Alluvial,7.2,Dry,Medium (234),Medium (21),High (148),23,20,24,50,125,40,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Maize,Black soil,6.5,Normal,Low (175),Medium (23),High (165),56,20,24,122,0,40,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Potato,Alluvial,7.7,Dry,Medium (223),Medium (20),High (176),53,21,36,115,0,60,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Alluvial,6.1,Humid,Medium (227),High (30),High (209),86,25,36,187,0,60,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Soybean,Black soil,6.6,Dry,Medium (217),Medium (23),High (176),30,20,18,65,125,30,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Red soil,6.9,Normal,Medium (204),Medium (19),High (204),49,25,26,107,0,43,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Black soil,6.5,Humid,Medium (214),Medium (20),High (254),25,19,20,54,119,33,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Groundnut,Alluvial,7.3,Rainy,Medium (204),Medium (20),High (170),31,25,21,67,156,35,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Maize,Black soil,6.5,Rainy,Low (157),Medium (17),High (235),60,20,25,130,0,42,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Wheat,Red soil,7.7,Normal,High (285),High (28),High (212),49,21,23,107,131,38,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Potato,Sandy loam,5.9,Normal,Low (186),Medium (22),High (159),58,27,31,126,0,52,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Potato,Sandy loam,6.5,Normal,Medium (231),High (27),High (141),61,28,33,133,0,55,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Red Gram,Red soil,6.6,Rainy,Medium (212),Medium (23),High (143),28,15,23,61,94,38,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Tomato,Sandy loam,7.3,Dry,High (278),High (29),High (222),53,29,25,115,0,42,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Wheat,Sandy loam,6.9,Rainy,Low (172),High (26),High (112),47,21,25,102,131,42,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Groundnut,Alluvial,7.8,Humid,High (294),Medium (17),High (108),27,21,30,59,131,50,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Tomato,Sandy loam,7.2,Normal,High (282),Medium (23),High (297),47,21,21,102,0,35,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Wheat,Clay loam,5.8,Humid,Medium (247),High (27),High (133),49,16,21,107,100,35,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Potato,Red soil,7.2,Dry,Low (193),High (26),High (294),65,21,34,141,0,57,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Black soil,5.6,Rainy,High (259),High (26),High (178),80,31,33,174,0,55,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Potato,Alluvial,7.3,Rainy,Medium (207),Medium (21),High (173),50,20,31,109,0,52,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Groundnut,Red soil,6.1,Normal,Low (172),High (26),High (118),20,25,29,43,156,48,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Groundnut,Alluvial,7.7,Dry,Low (159),High (29),High (188),21,25,26,46,156,43,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Sugarcane,Black soil,7.2,Normal,High (277),Low (13),High (250),97,28,37,211,0,62,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Soybean,Alluvial,6.8,Humid,Medium (201),Medium (25),High (296),30,18,24,65,112,40,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Potato,Black soil,7.1,Rainy,High (299),Medium (24),High (163),63,20,39,137,0,65,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Groundnut,Red soil,7.4,Dry,Low (173),Low (10),High (177),31,15,22,67,94,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Cotton,Alluvial,5.5,Dry,Medium (220),High (30),High (240),36,15,27,78,0,45,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Red Gram,Red soil,6.9,Rainy,Medium (250),Medium (20),High (140),21,18,16,46,112,27,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Cotton,Red soil,6.3,Humid,Low (182),Medium (20),High (104),48,24,31,104,0,52,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Sugarcane,Black soil,6.1,Dry,Low (163),High (27),High (299),86,30,30,187,0,50,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Tomato,Sandy loam,7,Dry,High (277),Medium (24),High (206),55,29,31,120,0,52,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Cotton,Red soil,6,Normal,Low (157),Medium (19),High (157),46,19,30,100,0,50,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Red Gram,Black soil,7.5,Dry,Low (155),Low (11),High (163),26,17,19,57,106,32,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Groundnut,Sandy loam,6.2,Rainy,Medium (213),Low (12),High (282),27,23,22,59,144,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Paddy,Sandy loam,7.6,Humid,High (272),Low (13),High (228),49,18,23,107,112,38,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Cotton,Alluvial,5.7,Dry,High (296),Low (12),High (200),42,22,28,91,0,47,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Tomato,Black soil,7.3,Humid,Low (170),Low (13),High (262),49,30,27,107,0,45,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Paddy,Sandy loam,6.8,Rainy,Medium (201),Medium (19),High (181),51,20,19,111,125,32,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Red Gram,Clay loam,6.4,Dry,High (266),Medium (22),High (127),23,17,20,50,106,33,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Potato,Sandy loam,7.5,Normal,Low (158),High (29),High (273),67,25,40,146,0,67,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Potato,Clay loam,5.5,Normal,High (262),Medium (17),High (129),70,20,30,152,0,50,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Tomato,Sandy loam,5.9,Normal,High (272),Medium (24),High (173),56,28,24,122,0,40,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Potato,Sandy loam,7.7,Dry,Low (160),Medium (20),High (276),63,21,35,137,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Maize,Alluvial,5.9,Normal,Low (153),High (29),High (158),53,21,23,115,0,38,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Sugarcane,Red soil,6.1,Rainy,Low (171),Low (14),High (299),87,25,40,189,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Black soil,6.7,Humid,High (255),High (28),High (270),50,16,19,109,100,32,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Groundnut,Black soil,6.2,Normal,High (290),High (26),High (294),33,23,22,72,144,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Soybean,Clay loam,5.8,Dry,Medium (235),High (28),High (156),25,17,18,54,106,30,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Red soil,6.7,Humid,Low (160),Low (10),High (110),48,25,33,104,0,55,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Potato,Red soil,6.9,Rainy,High (297),High (28),High (272),50,21,31,109,0,52,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Potato,Alluvial,6.5,Normal,Medium (223),High (30),High (130),60,29,40,130,0,67,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Clay loam,5.9,Humid,Medium (212),High (28),High (197),81,30,38,176,0,63,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Groundnut,Alluvial,6.3,Dry,Medium (211),Low (13),High (220),30,20,21,65,125,35,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Cotton,Clay loam,6.9,Rainy,Low (193),Medium (17),High (153),46,19,25,100,0,42,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Wheat,Alluvial,7.7,Dry,Medium (217),Low (14),High (199),38,24,17,83,150,28,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Sugarcane,Sandy loam,7.3,Humid,Medium (209),Medium (17),High (259),91,27,35,198,0,58,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Potato,Red soil,6.7,Dry,Medium (210),Low (15),High (120),55,26,30,120,0,50,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Red soil,7.6,Humid,Low (191),Low (14),High (263),87,25,39,189,0,65,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Cotton,Alluvial,5.6,Rainy,Medium (223),Low (15),High (223),46,15,25,100,0,42,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Potato,Clay loam,6,Dry,High (267),Medium (23),High (266),65,20,37,141,0,62,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Groundnut,Sandy loam,6.4,Rainy,High (275),Low (14),High (101),25,15,27,54,94,45,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Cotton,Clay loam,7.7,Humid,Medium (226),Medium (16),High (157),40,24,32,87,0,53,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Sugarcane,Sandy loam,5.7,Rainy,Medium (213),Low (10),High (139),87,29,38,189,0,63,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Maize,Red soil,6.4,Rainy,Medium (217),Medium (17),High (269),60,22,23,130,0,38,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Red Gram,Sandy loam,7.6,Humid,Low (171),Medium (21),High (120),30,16,20,65,100,33,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Sugarcane,Sandy loam,5.8,Dry,High (258),Medium (24),High (183),83,27,31,180,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Soybean,Red soil,6.6,Dry,Low (180),Medium (21),High (143),29,18,18,63,112,30,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Wheat,Sandy loam,6.7,Rainy,Low (179),Medium (24),High (184),35,19,19,76,119,32,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Maize,Black soil,7,Dry,Medium (224),High (26),High (251),50,20,21,109,0,35,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Cotton,Clay loam,5.5,Normal,Medium (216),Medium (22),High (270),35,23,34,76,0,57,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Groundnut,Red soil,6.4,Dry,Low (191),Medium (24),High (182),21,16,28,46,100,47,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Tomato,Alluvial,5.9,Dry,Medium (246),Medium (22),High (101),49,27,34,107,0,57,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Groundnut,Black soil,6.4,Dry,High (267),Low (10),High (166),35,18,23,76,112,38,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Tomato,Alluvial,6.6,Normal,Medium (225),Low (12),High (242),46,20,21,100,0,35,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Maize,Alluvial,6,Rainy,Medium (246),Medium (25),High (110),50,22,23,109,0,38,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Soybean,Sandy loam,7.3,Humid,Low (174),High (26),High (195),23,15,23,50,94,38,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Sandy loam,7,Rainy,High (295),Low (10),High (181),49,18,32,107,0,53,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Wheat,Clay loam,6.7,Rainy,Low (165),Medium (21),High (260),41,18,16,89,112,27,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Potato,Sandy loam,5.6,Humid,Low (173),Low (14),High (108),56,27,33,122,0,55,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Red Gram,Sandy loam,7.6,Dry,Medium (225),Low (10),High (115),28,20,25,61,125,42,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Red Gram,Sandy loam,6.8,Humid,Low (177),Medium (19),High (166),23,16,24,50,100,40,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Red Gram,Clay loam,6.5,Dry,High (252),Low (15),High (150),20,16,24,43,100,40,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Black soil,6.7,Humid,Low (158),Medium (18),High (179),20,15,15,43,94,25,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Sugarcane,Alluvial,6.3,Normal,High (286),Low (11),High (216),90,32,32,196,0,53,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Maize,Alluvial,5.8,Humid,Low (166),Low (10),High (209),57,20,24,124,0,40,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Sugarcane,Red soil,7.6,Normal,Low (197),Medium (25),High (290),99,31,35,215,0,58,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Sugarcane,Alluvial,6.1,Humid,Medium (246),Medium (21),High (152),92,34,31,200,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Tomato,Clay loam,7.6,Dry,Medium (236),Low (11),High (134),55,22,28,120,0,47,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Wheat,Clay loam,6.1,Dry,High (251),Medium (23),High (270),38,19,20,83,119,33,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Groundnut,Clay loam,6.9,Humid,High (278),Medium (21),High (231),20,24,21,43,150,35,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Potato,Alluvial,6.9,Rainy,Medium (217),Medium (23),High (134),54,27,36,117,0,60,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Sandy loam,6.5,Humid,High (286),Medium (16),High (187),80,31,38,174,0,63,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Paddy,Alluvial,6,Rainy,Medium (205),Low (10),High (170),44,17,16,96,106,27,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Potato,Black soil,7.3,Dry,Medium (222),Medium (19),High (164),64,28,39,139,0,65,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Maize,Red soil,7,Humid,Medium (241),Medium (20),High (249),55,21,22,120,0,37,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Sugarcane,Red soil,5.8,Rainy,Medium (226),Medium (24),High (232),85,25,33,185,0,55,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Cotton,Red soil,7.1,Normal,Low (199),Medium (22),High (198),39,22,26,85,0,43,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Tomato,Clay loam,6.8,Normal,Medium (204),High (29),High (183),60,28,23,130,0,38,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Sugarcane,Red soil,6.2,Rainy,High (253),Medium (18),High (215),87,29,31,189,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Red Gram,Alluvial,7.5,Rainy,Medium (213),Medium (24),High (159),22,18,22,48,112,37,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Maize,Black soil,5.5,Humid,Low (197),Low (14),High (167),50,24,22,109,0,37,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Potato,Black soil,7.2,Dry,Low (186),High (29),High (164),50,23,37,109,0,62,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Red Gram,Red soil,7.1,Dry,Low (168),Medium (22),High (271),23,20,25,50,125,42,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Sugarcane,Red soil,7.7,Normal,Medium (219),Low (12),High (245),90,32,32,196,0,53,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Tomato,Sandy loam,6,Rainy,Medium (228),Medium (22),High (214),46,30,26,100,0,43,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Paddy,Clay loam,6.9,Normal,Low (161),Low (13),High (123),44,19,25,96,119,42,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Red Gram,Red soil,7.5,Normal,High (281),Low (13),High (270),30,17,23,65,106,38,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Cotton,Alluvial,5.7,Rainy,Low (188),Medium (21),High (219),42,21,34,91,0,57,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Groundnut,Red soil,6.8,Humid,High (253),High (26),High (181),20,24,20,43,150,33,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Potato,Clay loam,6.3,Rainy,Low (187),Medium (22),High (116),67,21,40,146,0,67,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Red soil,7.4,Rainy,Low (179),High (26),High (262),28,17,23,61,106,38,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Sandy loam,6.7,Normal,Medium (249),Medium (23),High (105),25,17,20,54,106,33,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Alluvial,6.2,Dry,High (279),Medium (24),High (105),26,17,24,57,106,40,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Clay loam,6.4,Humid,High (279),Low (11),High (251),42,22,28,91,0,47,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Red Gram,Red soil,7.5,Humid,Medium (203),Medium (21),High (285),28,19,17,61,119,28,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Red Gram,Alluvial,7.4,Humid,Medium (227),Low (15),High (220),21,16,24,46,100,40,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Red soil,6.2,Normal,Low (171),High (28),High (249),23,20,21,50,125,35,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Tomato,Red soil,6.3,Rainy,Low (186),Medium (24),High (247),46,21,30,100,0,50,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Groundnut,Red soil,6.6,Normal,Medium (229),High (28),High (150),29,24,24,63,150,40,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Sugarcane,Alluvial,6.6,Normal,Medium (212),Medium (16),High (278),82,31,34,178,0,57,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Red Gram,Alluvial,7.2,Dry,Low (155),Low (12),High (269),21,17,20,46,106,33,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Maize,Sandy loam,7.7,Dry,Low (179),Medium (23),High (139),51,25,23,111,0,38,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Cotton,Alluvial,6.3,Rainy,Low (176),Low (13),High (251),46,24,29,100,0,48,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Sugarcane,Clay loam,7.5,Normal,Medium (217),Low (12),High (230),92,35,31,200,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Soybean,Clay loam,5.9,Humid,High (264),Medium (16),High (204),28,19,18,61,119,30,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Red soil,6.7,Normal,Low (192),Medium (20),High (120),24,20,21,52,125,35,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Paddy,Alluvial,5.7,Dry,High (297),Medium (16),High (252),42,16,15,91,100,25,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Maize,Alluvial,7.8,Dry,Medium (210),Low (14),High (183),55,21,25,120,0,42,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Tomato,Sandy loam,6.5,Normal,Low (164),Medium (16),High (217),54,28,26,117,0,43,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Maize,Red soil,7.2,Dry,Medium (216),Medium (25),High (185),57,23,20,124,0,33,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Groundnut,Sandy loam,5.6,Rainy,Low (185),Low (12),High (261),20,25,22,43,156,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Cotton,Alluvial,5.8,Normal,High (292),High (30),High (186),48,25,28,104,0,47,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Paddy,Black soil,6.2,Dry,High (275),Low (10),High (297),45,17,17,98,106,28,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Paddy,Alluvial,5.9,Dry,Medium (227),Medium (23),High (140),41,23,22,89,144,37,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Red Gram,Red soil,6.8,Humid,Medium (234),Medium (25),High (111),28,17,16,61,106,27,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Cotton,Alluvial,7,Rainy,Low (169),Low (15),High (159),45,22,27,98,0,45,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Paddy,Sandy loam,5.6,Humid,Low (170),High (27),High (213),53,15,25,115,94,42,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Potato,Clay loam,7.8,Rainy,Medium (247),Medium (16),High (116),68,20,30,148,0,50,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Black soil,5.9,Normal,High (274),Low (11),High (125),21,20,22,46,125,37,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Wheat,Alluvial,6.7,Dry,High (267),Medium (19),High (288),47,15,24,102,94,40,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Paddy,Clay loam,6.9,Humid,Medium (241),High (28),High (140),47,23,20,102,144,33,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Cotton,Black soil,7.7,Normal,Medium (249),Medium (21),High (118),35,23,31,76,0,52,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Paddy,Alluvial,5.8,Normal,Low (196),High (27),High (153),40,16,17,87,100,28,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Groundnut,Alluvial,6.7,Dry,Low (155),Low (14),High (130),29,15,27,63,94,45,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Tomato,Red soil,7.2,Dry,High (291),Low (10),High (277),51,22,27,111,0,45,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Alluvial,7.3,Normal,High (265),Low (10),High (158),21,17,17,46,106,28,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Alluvial,5.6,Humid,Medium (202),Low (13),High (172),25,18,22,54,112,37,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Maize,Clay loam,6,Normal,Medium (222),Low (14),High (272),50,20,24,109,0,40,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Potato,Clay loam,7.2,Dry,Medium (208),Medium (25),High (170),61,20,34,133,0,57,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Sandy loam,7.5,Humid,Medium (207),Medium (22),High (206),26,20,15,57,125,25,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Alluvial,6.8,Humid,Medium (231),Medium (19),High (110),25,18,16,54,112,27,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Clay loam,7.6,Humid,Low (169),Low (12),High (242),40,18,32,87,0,53,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Cotton,Sandy loam,7.2,Rainy,High (295),High (28),High (283),44,19,35,96,0,58,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Potato,Red soil,7.8,Rainy,Low (186),Low (13),High (172),58,25,36,126,0,60,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Tomato,Alluvial,6.2,Normal,High (290),High (28),High (188),60,28,28,130,0,47,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Tomato,Red soil,5.5,Dry,Medium (237),Medium (19),High (208),48,27,20,104,0,33,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Wheat,Red soil,7.8,Humid,High (285),High (29),High (118),48,15,21,104,94,35,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Red Gram,Alluvial,7.5,Humid,High (283),Medium (22),High (173),23,17,24,50,106,40,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Potato,Red soil,5.8,Rainy,Medium (236),Medium (16),High (200),56,24,39,122,0,65,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Cotton,Red soil,6.6,Dry,Medium (209),Medium (23),High (274),45,18,32,98,0,53,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Maize,Sandy loam,5.6,Rainy,Medium (225),Low (10),High (196),58,22,23,126,0,38,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Groundnut,Black soil,7.2,Normal,High (252),Medium (16),High (214),32,22,27,70,138,45,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Sugarcane,Red soil,7.2,Rainy,Low (179),Medium (16),High (285),83,32,40,180,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Potato,Red soil,6.8,Dry,Medium (207),Medium (25),High (296),70,20,34,152,0,57,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Alluvial,7.6,Normal,Low (158),Low (10),High (258),27,15,15,59,94,25,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
